Thread  	Address                 	Instruction                     	Result                                  	
00000B94	.text:start             	Memory layout changed: 65 segments	Memory layout changed: 65 segments      	
00000B94	                        	                                	ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0023 DS=002B ES=002B FS=0053 GS=002B SS=002B RAX=000000008C909730 RBX=00000000003D5000 RCX=000000000040100D RDX=000000000040100D RSI=000000000040100D RDI=000000000040100D RBP=000000000060FF94 RSP=000000000060FF84 R8=FFFFFFFFFFFFFFFF R9=FFFFFFFFFFFFFFFF R10=FFFFFFFFFFFFFFFF R11=FFFFFFFFFFFFFFFF R12=FFFFFFFFFFFFFFFF R13=FFFFFFFFFFFFFFFF R14=FFFFFFFFFFFFFFFF R15=FFFFFFFFFFFFFFFF EFL=00000246 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= XMM8= XMM9= XMM10= XMM11= XMM12= XMM13= XMM14= XMM15= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= MM4= MM5= MM6= MM7= 	
00000B94	.text:start             	push    ebp                     	RSP=000000000060FF80                    	
00000B94	.text:start+1           	mov     ebp, esp                	RBP=000000000060FF80                    	
00000B94	.text:start+3           	sub     esp, 28h                	RSP=000000000060FF58 PF=0 AF=1 ZF=0     	
00000B94	.text:start+6           	mov     [esp+28h+Str], offset Str; \"Hello Loop\"	                                        	
00000B94	.text:start+D           	call    puts                    	RSP=000000000060FF54                    	
00000B94	.text:puts              	jmp     ds:__imp_puts           	RAX=0000000000000000 RCX=00000000755C9AFF RDX=0000000000000000 RSP=000000000060FF58 PF=1 AF=0 ZF=1 	
00000B94	.text:start+12          	mov     [esp+28h+var_24], 0BABE5h	                                        	
00000B94	.text:start+1A          	mov     [esp+28h+Str], 0AFFE1h  	                                        	
00000B94	.text:start+21          	call    sub_401000              	RSP=000000000060FF54                    	
00000B94	.text:sub_401000        	jmp     loc_4048F7              	                                        	
00000B94	.vmp0:loc_4048F7        	push    offset word_40489A      	RSP=000000000060FF50                    	
00000B94	.vmp0:004048FC          	call    sub_404314              	RSP=000000000060FF4C                    	
00000B94	.vmp0:sub_404314        	push    eax                     	RSP=000000000060FF48                    	
00000B94	.vmp0:sub_404314+1      	push    ecx                     	RSP=000000000060FF44                    	
00000B94	.vmp0:sub_404314+2      	push    edx                     	RSP=000000000060FF40                    	
00000B94	.vmp0:sub_404314+3      	push    ebp                     	RSP=000000000060FF3C                    	
00000B94	.vmp0:sub_404314+4      	push    esi                     	RSP=000000000060FF38                    	
00000B94	.vmp0:sub_404314+5      	push    ebx                     	RSP=000000000060FF34                    	
00000B94	.vmp0:sub_404314+6      	pushf                           	RSP=000000000060FF30                    	
00000B94	.vmp0:sub_404314+7      	push    edi                     	RSP=000000000060FF2C                    	
00000B94	.vmp0:sub_404314+8      	push    edi                     	RSP=000000000060FF28                    	
00000B94	.vmp0:sub_404314+9      	push    dword_401005            	RSP=000000000060FF24                    	
00000B94	.vmp0:sub_404314+F      	push    0                       	RSP=000000000060FF20                    	
00000B94	.vmp0:sub_404314+14     	mov     esi, [esp+2Ch+arg_0]    	RSI=000000000040489A                    	
00000B94	.vmp0:sub_404314+18     	mov     ebp, esp                	RBP=000000000060FF20                    	
00000B94	.vmp0:sub_404314+1A     	sub     esp, 0C0h               	RSP=000000000060FE60 ZF=0               	
00000B94	.vmp0:sub_404314+20     	mov     edi, esp                	RDI=000000000060FE60                    	
00000B94	.vmp0:sub_404314:loc_404336	add     esi, [ebp+0]            	                                        	
00000B94	.vmp0:sub_404314:loc_404339	mov     al, [esi]               	RAX=0000000000000007                    	
00000B94	.vmp0:sub_404314+27     	movzx   eax, al                 	                                        	
00000B94	.vmp0:sub_404314+2A     	add     esi, 1                  	RSI=000000000040489B PF=0               	
00000B94	.vmp0:sub_404314+2D     	jmp     ds:off_40439C[eax*4]    	                                        	
00000B94	.vmp0:sub_404314:loc_40482D	movzx   eax, byte ptr [esi]     	RAX=0000000000000004                    	
00000B94	.vmp0:sub_404314+51C    	mov     edx, [ebp+0]            	                                        	
00000B94	.vmp0:sub_404314+51F    	inc     esi                     	RSI=000000000040489C PF=1               	
00000B94	.vmp0:sub_404314+520    	add     ebp, 4                  	RBP=000000000060FF24                    	
00000B94	.vmp0:sub_404314+523    	mov     [eax+edi], edx          	                                        	
00000B94	.vmp0:sub_404314+526    	jmp     loc_404339              	                                        	
00000B94	.vmp0:sub_404314:loc_404339	mov     al, [esi]               	RAX=000000000000008C                    	
00000B94	.vmp0:sub_404314+27     	movzx   eax, al                 	                                        	
00000B94	.vmp0:sub_404314+2A     	add     esi, 1                  	RSI=000000000040489D PF=0               	
00000B94	.vmp0:sub_404314+2D     	jmp     ds:off_40439C[eax*4]    	                                        	
00000B94	.vmp0:sub_404314:loc_40423B	mov     eax, [esi]              	RAX=0000000045053D64                    	
00000B94	.vmp0:sub_404314-D7     	add     esi, 4                  	RSI=00000000004048A1 AF=1               	
00000B94	.vmp0:sub_404314-D4     	sub     ebp, 4                  	RBP=000000000060FF20 AF=0               	
00000B94	.vmp0:sub_404314-D1     	mov     [ebp+0], eax            	                                        	
00000B94	.vmp0:sub_404314-CE     	jmp     loc_404131              	                                        	
00000B94	.vmp0:sub_404314:loc_404131	lea     eax, [edi+50h]          	RAX=000000000060FEB0                    	
00000B94	.vmp0:sub_404314-1E0    	cmp     ebp, eax                	                                        	
00000B94	.vmp0:sub_404314-1DE    	ja      loc_404339              	                                        	
00000B94	.vmp0:sub_404314:loc_404339	mov     al, [esi]               	RAX=000000000060FE23                    	
00000B94	.vmp0:sub_404314+27     	movzx   eax, al                 	RAX=0000000000000023                    	
00000B94	.vmp0:sub_404314+2A     	add     esi, 1                  	RSI=00000000004048A2                    	
00000B94	.vmp0:sub_404314+2D     	jmp     ds:off_40439C[eax*4]    	                                        	
00000B94	.vmp0:sub_404314:loc_404285	mov     eax, [ebp+0]            	RAX=0000000045053D64                    	
00000B94	.vmp0:sub_404314-8C     	add     [ebp+4], eax            	                                        	
00000B94	.vmp0:sub_404314-89     	pushf                           	RSP=000000000060FE5C                    	
00000B94	.vmp0:sub_404314-88     	pop     dword ptr [ebp+0]       	RSP=000000000060FE60                    	
00000B94	.vmp0:sub_404314-85     	jmp     loc_404339              	                                        	
00000B94	.vmp0:sub_404314:loc_404339	mov     al, [esi]               	RAX=0000000045053D37                    	
00000B94	.vmp0:sub_404314+27     	movzx   eax, al                 	RAX=0000000000000037                    	
00000B94	.vmp0:sub_404314+2A     	add     esi, 1                  	RSI=00000000004048A3 PF=1               	
00000B94	.vmp0:sub_404314+2D     	jmp     ds:off_40439C[eax*4]    	                                        	
00000B94	.vmp0:sub_404314:loc_40482D	movzx   eax, byte ptr [esi]     	RAX=000000000000000C                    	
00000B94	.vmp0:sub_404314+51C    	mov     edx, [ebp+0]            	RDX=0000000000000202                    	
00000B94	.vmp0:sub_404314+51F    	inc     esi                     	RSI=00000000004048A4 PF=0               	
00000B94	.vmp0:sub_404314+520    	add     ebp, 4                  	RBP=000000000060FF24 PF=1               	
00000B94	.vmp0:sub_404314+523    	mov     [eax+edi], edx          	                                        	
00000B94	.vmp0:sub_404314+526    	jmp     loc_404339              	                                        	
00000B94	.vmp0:sub_404314:loc_404339	mov     al, [esi]               	RAX=0000000000000007                    	
00000B94	.vmp0:sub_404314+27     	movzx   eax, al                 	                                        	
00000B94	.vmp0:sub_404314+2A     	add     esi, 1                  	RSI=00000000004048A5                    	
00000B94	.vmp0:sub_404314+2D     	jmp     ds:off_40439C[eax*4]    	                                        	
00000B94	.vmp0:sub_404314:loc_40482D	movzx   eax, byte ptr [esi]     	RAX=0000000000000014                    	
00000B94	.vmp0:sub_404314+51C    	mov     edx, [ebp+0]            	RDX=0000000045053D64                    	
00000B94	.vmp0:sub_404314+51F    	inc     esi                     	RSI=00000000004048A6                    	
00000B94	.vmp0:sub_404314+520    	add     ebp, 4                  	RBP=000000000060FF28                    	
00000B94	.vmp0:sub_404314+523    	mov     [eax+edi], edx          	                                        	
00000B94	.vmp0:sub_404314+526    	jmp     loc_404339              	                                        	
00000B94	.vmp0:sub_404314:loc_404339	mov     al, [esi]               	RAX=0000000000000007                    	
00000B94	.vmp0:sub_404314+27     	movzx   eax, al                 	                                        	
00000B94	.vmp0:sub_404314+2A     	add     esi, 1                  	RSI=00000000004048A7 PF=0               	
00000B94	.vmp0:sub_404314+2D     	jmp     ds:off_40439C[eax*4]    	                                        	
