Thread  	Address                 	Instruction                     	Result                                  	
000007BC	.text:start             	Memory layout changed: 65 segments	Memory layout changed: 65 segments      	
000007BC	                        	                                	ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0023 DS=002B ES=002B FS=0053 GS=002B SS=002B EAX=FD429168 EBX=003A0000 ECX=0040100C EDX=0040100C ESI=0040100C EDI=0040100C EBP=0060FF94 ESP=0060FF84 EFL=00000246 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= MM4= MM5= MM6= MM7= 	
000007BC	.text:start             	push    ebp                     	ESP=0060FF80                            	
000007BC	.text:start+1           	mov     ebp, esp                	EBP=0060FF80                            	
000007BC	.text:start+3           	sub     esp, 38h                	ESP=0060FF48 AF=1 ZF=0                  	
000007BC	.text:start+6           	mov     [esp+38h+Str], offset Str; \"Hello Loop\"	                                        	
000007BC	.text:start+D           	call    puts                    	ESP=0060FF44                            	
000007BC	.text:puts              	jmp     ds:__imp_puts           	EAX=00000000 ECX=74439AFF EDX=00000000 ESP=0060FF48 AF=0 ZF=1 	
000007BC	.text:start+12          	mov     dword ptr [esp+38h+var_34], 0AFFE1h	                                        	
000007BC	.text:start+1A          	mov     [esp+38h+Str], 0BABE512h	                                        	
000007BC	.text:start+21          	call    sub_401000              	ESP=0060FF44                            	
000007BC	.text:sub_401000        	jmp     loc_40491D              	                                        	
000007BC	.vmp0:loc_40491D        	push    offset byte_4048AD      	ESP=0060FF40                            	
000007BC	.vmp0:00404922          	call    sub_40428E              	ESP=0060FF3C                            	
000007BC	.vmp0:sub_40428E        	push    esi                     	ESP=0060FF38                            	
000007BC	.vmp0:sub_40428E+1      	pushf                           	ESP=0060FF34                            	
000007BC	.vmp0:sub_40428E+2      	push    ebx                     	ESP=0060FF30                            	
000007BC	.vmp0:sub_40428E+3      	push    edx                     	ESP=0060FF2C                            	
000007BC	.vmp0:sub_40428E+4      	push    eax                     	ESP=0060FF28                            	
000007BC	.vmp0:sub_40428E+5      	push    ebp                     	ESP=0060FF24                            	
000007BC	.vmp0:sub_40428E+6      	push    ecx                     	ESP=0060FF20                            	
000007BC	.vmp0:sub_40428E+7      	push    edx                     	ESP=0060FF1C                            	
000007BC	.vmp0:sub_40428E+8      	push    edi                     	ESP=0060FF18                            	
000007BC	.vmp0:sub_40428E+9      	push    dword_401005            	ESP=0060FF14                            	
000007BC	.vmp0:sub_40428E+F      	push    0                       	ESP=0060FF10                            	
000007BC	.vmp0:sub_40428E+14     	mov     esi, [esp+2Ch+arg_0]    	ESI=004048AD                            	
000007BC	.vmp0:sub_40428E+18     	mov     ebp, esp                	EBP=0060FF10                            	
000007BC	.vmp0:sub_40428E+1A     	sub     esp, 0C0h               	ESP=0060FE50 ZF=0                       	
000007BC	.vmp0:sub_40428E+20     	mov     edi, esp                	EDI=0060FE50                            	
000007BC	.vmp0:sub_40428E:loc_4042B0	add     esi, [ebp+0]            	PF=0                                    	
000007BC	.vmp0:sub_40428E:loc_4042B3	mov     al, [esi]               	EAX=000000A7                            	
000007BC	.vmp0:sub_40428E+27     	movzx   eax, al                 	                                        	
000007BC	.vmp0:sub_40428E+2A     	inc     esi                     	ESI=004048AE                            	
000007BC	.vmp0:sub_40428E+2B     	jmp     ds:off_40435F[eax*4]    	                                        	
000007BC	.vmp0:sub_40428E:loc_40427C	movzx   eax, byte ptr [esi]     	EAX=0000003C                            	
