Thread  	Address                 	Instruction                     	Result                                  	
00000E9C	.text:start             	Memory layout changed: 46 segments	Memory layout changed: 46 segments      	
00000E9C	                        	                                	ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=001B DS=0023 ES=0023 FS=003B GS=0000 SS=0023 EAX=76D71142 EBX=7FFDF000 ECX=00000000 EDX=00401047 ESI=00000000 EDI=00000000 EBP=0022FF94 ESP=0022FF8C EFL=00000246 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= MM4= MM5= MM6= MM7= 	
00000E9C	.text:start             	push    ebp                     	ESP=0022FF88                            	
00000E9C	.text:start+1           	mov     ebp, esp                	EBP=0022FF88                            	
00000E9C	.text:start+3           	sub     esp, 28h                	ESP=0022FF60 ZF=0                       	
00000E9C	.text:start+6           	mov     [esp+28h+Str], offset Str; \"Hello Pointer\"	                                        	
00000E9C	.text:start+D           	call    puts                    	ESP=0022FF5C                            	
00000E9C	.text:puts              	jmp     ds:__imp_puts           	EAX=00000000 ECX=75E28E8A EDX=77336194 ESP=0022FF60 ZF=1 	
00000E9C	.text:start+12          	mov     [esp+28h+Str], 3        	                                        	
00000E9C	.text:start+19          	call    sub_401000              	ESP=0022FF5C                            	
00000E9C	.text:sub_401000        	jmp     sub_4048B1              	                                        	
00000E9C	.vmp0:sub_4048B1        	push    offset dword_4049BC     	ESP=0022FF58                            	
00000E9C	.vmp0:sub_4048B1+5      	call    sub_4041EF              	ESP=0022FF54                            	
00000E9C	.vmp0:sub_4041EF        	push    ebp                     	ESP=0022FF50                            	
00000E9C	.vmp0:sub_4041EF+1      	push    edx                     	ESP=0022FF4C                            	
00000E9C	.vmp0:sub_4041EF+2      	push    esi                     	ESP=0022FF48                            	
00000E9C	.vmp0:sub_4041EF+3      	push    esp                     	ESP=0022FF44                            	
00000E9C	.vmp0:sub_4041EF+4      	push    ebx                     	ESP=0022FF40                            	
00000E9C	.vmp0:sub_4041EF+5      	push    edi                     	ESP=0022FF3C                            	
00000E9C	.vmp0:sub_4041EF+6      	push    ecx                     	ESP=0022FF38                            	
00000E9C	.vmp0:sub_4041EF+7      	push    eax                     	ESP=0022FF34                            	
00000E9C	.vmp0:sub_4041EF+8      	pushf                           	ESP=0022FF30                            	
00000E9C	.vmp0:sub_4041EF+9      	push    dword_401040            	ESP=0022FF2C                            	
00000E9C	.vmp0:sub_4041EF+F      	push    0                       	ESP=0022FF28                            	
00000E9C	.vmp0:sub_4041EF+14     	mov     esi, [esp+2Ch+arg_0]    	ESI=004049BC                            	
00000E9C	.vmp0:sub_4041EF+18     	mov     ebp, esp                	EBP=0022FF28                            	
00000E9C	.vmp0:sub_4041EF+1A     	sub     esp, 0C0h               	ESP=0022FE68 PF=0 ZF=0                  	
00000E9C	.vmp0:sub_4041EF+20     	mov     edi, esp                	EDI=0022FE68                            	
00000E9C	.vmp0:sub_4041EF:loc_404211	add     esi, [ebp+0]            	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=00000008                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049BD PF=1                       	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4042AF	movzx   eax, byte ptr [esi]     	EAX=00000024                            	
00000E9C	.vmp0:sub_4041EF+C3     	sub     esi, 0FFFFFFFFh         	ESI=004049BE CF=1 AF=1                  	
00000E9C	.vmp0:sub_4041EF+C6     	mov     edx, [ebp+0]            	EDX=00000000                            	
00000E9C	.vmp0:sub_4041EF+C9     	add     ebp, 4                  	EBP=0022FF2C CF=0 PF=0 AF=0             	
00000E9C	.vmp0:sub_4041EF+CC     	mov     [eax+edi], edx          	                                        	
00000E9C	.vmp0:sub_4041EF+CF     	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=00000051                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049BF                            	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_40410E	mov     eax, [esi]              	EAX=C3B67C9E                            	
00000E9C	.vmp0:sub_4041EF-DF     	sub     ebp, 4                  	EBP=0022FF28 PF=1                       	
00000E9C	.vmp0:sub_4041EF-DC     	mov     [ebp+0], eax            	                                        	
00000E9C	.vmp0:sub_4041EF-D9     	sub     esi, 0FFFFFFFCh         	ESI=004049C3 CF=1                       	
00000E9C	.vmp0:sub_4041EF-D6     	jmp     loc_404255              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404255	lea     eax, [edi+50h]          	EAX=0022FEB8                            	
00000E9C	.vmp0:sub_4041EF+69     	cmp     ebp, eax                	CF=0 PF=0                               	
00000E9C	.vmp0:sub_4041EF+6B     	ja      loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=0022FE45                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049C4                            	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	EAX=00000045                            	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4043A8	mov     eax, [ebp+0]            	EAX=C3B67C9E                            	
00000E9C	.vmp0:sub_4041EF+1BC    	add     [ebp+4], eax            	SF=1                                    	
00000E9C	.vmp0:sub_4041EF+1BF    	pushf                           	ESP=0022FE64                            	
00000E9C	.vmp0:sub_4041EF+1C0    	pop     dword ptr [ebp+0]       	ESP=0022FE68                            	
00000E9C	.vmp0:sub_4041EF+1C3    	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=C3B67C08                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049C5 PF=1 SF=0                  	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	EAX=00000008                            	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4042AF	movzx   eax, byte ptr [esi]     	                                        	
00000E9C	.vmp0:sub_4041EF+C3     	sub     esi, 0FFFFFFFFh         	ESI=004049C6 CF=1 AF=1                  	
00000E9C	.vmp0:sub_4041EF+C6     	mov     edx, [ebp+0]            	EDX=00000282                            	
00000E9C	.vmp0:sub_4041EF+C9     	add     ebp, 4                  	EBP=0022FF2C CF=0 PF=0 AF=0             	
00000E9C	.vmp0:sub_4041EF+CC     	mov     [eax+edi], edx          	                                        	
00000E9C	.vmp0:sub_4041EF+CF     	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	                                        	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049C7                            	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4042AF	movzx   eax, byte ptr [esi]     	EAX=0000001C                            	
00000E9C	.vmp0:sub_4041EF+C3     	sub     esi, 0FFFFFFFFh         	ESI=004049C8 CF=1 AF=1                  	
00000E9C	.vmp0:sub_4041EF+C6     	mov     edx, [ebp+0]            	EDX=C3B67C9E                            	
00000E9C	.vmp0:sub_4041EF+C9     	add     ebp, 4                  	EBP=0022FF30 CF=0 PF=1                  	
00000E9C	.vmp0:sub_4041EF+CC     	mov     [eax+edi], edx          	                                        	
00000E9C	.vmp0:sub_4041EF+CF     	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=00000008                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049C9 AF=0                       	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4042AF	movzx   eax, byte ptr [esi]     	EAX=00000020                            	
00000E9C	.vmp0:sub_4041EF+C3     	sub     esi, 0FFFFFFFFh         	ESI=004049CA CF=1 AF=1                  	
00000E9C	.vmp0:sub_4041EF+C6     	mov     edx, [ebp+0]            	EDX=00000246                            	
00000E9C	.vmp0:sub_4041EF+C9     	add     ebp, 4                  	EBP=0022FF34 CF=0 PF=0 AF=0             	
00000E9C	.vmp0:sub_4041EF+CC     	mov     [eax+edi], edx          	                                        	
00000E9C	.vmp0:sub_4041EF+CF     	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=00000015                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049CB                            	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4042AF	movzx   eax, byte ptr [esi]     	EAX=00000010                            	
00000E9C	.vmp0:sub_4041EF+C3     	sub     esi, 0FFFFFFFFh         	ESI=004049CC CF=1 PF=1 AF=1             	
00000E9C	.vmp0:sub_4041EF+C6     	mov     edx, [ebp+0]            	EDX=00000000                            	
00000E9C	.vmp0:sub_4041EF+C9     	add     ebp, 4                  	EBP=0022FF38 CF=0 PF=0 AF=0             	
00000E9C	.vmp0:sub_4041EF+CC     	mov     [eax+edi], edx          	                                        	
00000E9C	.vmp0:sub_4041EF+CF     	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=0000001E                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049CD                            	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4042AF	movzx   eax, byte ptr [esi]     	EAX=0000002C                            	
00000E9C	.vmp0:sub_4041EF+C3     	sub     esi, 0FFFFFFFFh         	ESI=004049CE CF=1 AF=1                  	
00000E9C	.vmp0:sub_4041EF+C6     	mov     edx, [ebp+0]            	EDX=75E28E8A                            	
00000E9C	.vmp0:sub_4041EF+C9     	add     ebp, 4                  	EBP=0022FF3C CF=0 PF=1 AF=0             	
00000E9C	.vmp0:sub_4041EF+CC     	mov     [eax+edi], edx          	                                        	
00000E9C	.vmp0:sub_4041EF+CF     	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=0000001E                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049CF                            	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4042AF	movzx   eax, byte ptr [esi]     	EAX=00000034                            	
00000E9C	.vmp0:sub_4041EF+C3     	sub     esi, 0FFFFFFFFh         	ESI=004049D0 CF=1 PF=0                  	
00000E9C	.vmp0:sub_4041EF+C6     	mov     edx, [ebp+0]            	EDX=00000000                            	
00000E9C	.vmp0:sub_4041EF+C9     	add     ebp, 4                  	EBP=0022FF40 CF=0 AF=1                  	
00000E9C	.vmp0:sub_4041EF+CC     	mov     [eax+edi], edx          	                                        	
00000E9C	.vmp0:sub_4041EF+CF     	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=00000008                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049D1 PF=1 AF=0                  	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4042AF	movzx   eax, byte ptr [esi]     	                                        	
00000E9C	.vmp0:sub_4041EF+C3     	sub     esi, 0FFFFFFFFh         	ESI=004049D2 CF=1 AF=1                  	
00000E9C	.vmp0:sub_4041EF+C6     	mov     edx, [ebp+0]            	EDX=7FFDF000                            	
