Thread  	Address                 	Instruction                     	Result                                  	
00000868	.text:start             	Memory layout changed: 65 segments	Memory layout changed: 65 segments      	
00000868	                        	                                	ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0023 DS=002B ES=002B FS=0053 GS=002B SS=002B EAX=36BB9441 EBX=00348000 ECX=0040100C EDX=0040100C ESI=0040100C EDI=0040100C EBP=0060FF94 ESP=0060FF84 EFL=00000246 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= MM4= MM5= MM6= MM7= 	
00000868	.text:start             	push    ebp                     	ESP=0060FF80                            	
00000868	.text:start+1           	mov     ebp, esp                	EBP=0060FF80                            	
00000868	.text:start+3           	sub     esp, 28h                	ESP=0060FF58 PF=0 AF=1 ZF=0             	
00000868	.text:start+6           	mov     [esp+28h+Str], offset Str; \"Hello Loop\"	                                        	
00000868	.text:start+D           	call    puts                    	ESP=0060FF54                            	
00000868	.text:puts              	jmp     ds:__imp_puts           	EAX=00000000 ECX=75A59AFF EDX=00000000 ESP=0060FF58 PF=1 AF=0 ZF=1 	
00000868	.text:start+12          	mov     [esp+28h+var_24], 0BABE5h	                                        	
00000868	.text:start+1A          	mov     [esp+28h+Str], 0AFFE1h  	                                        	
00000868	.text:start+21          	call    sub_401000              	ESP=0060FF54                            	
00000868	.text:sub_401000        	jmp     loc_4048AE              	                                        	
00000868	.vmp0:loc_4048AE        	push    offset loc_4048B8       	ESP=0060FF50                            	
00000868	.vmp0:004048B3          	call    sub_404847              	ESP=0060FF4C                            	
00000868	.vmp0:sub_404847        	push    edi                     	ESP=0060FF48                            	
00000868	.vmp0:sub_404847+1      	push    edx                     	ESP=0060FF44                            	
00000868	.vmp0:sub_404847+2      	push    esi                     	ESP=0060FF40                            	
00000868	.vmp0:sub_404847+3      	push    eax                     	ESP=0060FF3C                            	
00000868	.vmp0:sub_404847+4      	push    ebx                     	ESP=0060FF38                            	
00000868	.vmp0:sub_404847+5      	pushf                           	ESP=0060FF34                            	
00000868	.vmp0:sub_404847+6      	push    ebp                     	ESP=0060FF30                            	
00000868	.vmp0:sub_404847+7      	push    ecx                     	ESP=0060FF2C                            	
00000868	.vmp0:sub_404847+8      	push    eax                     	ESP=0060FF28                            	
00000868	.vmp0:sub_404847+9      	push    dword_401005            	ESP=0060FF24                            	
00000868	.vmp0:sub_404847+F      	push    0                       	ESP=0060FF20                            	
00000868	.vmp0:sub_404847+14     	mov     esi, [esp+2Ch+arg_0]    	ESI=004048B8                            	
00000868	.vmp0:sub_404847+18     	mov     ebp, esp                	EBP=0060FF20                            	
00000868	.vmp0:sub_404847+1A     	sub     esp, 0C0h               	ESP=0060FE60 ZF=0                       	
00000868	.vmp0:sub_404847+20     	mov     edi, esp                	EDI=0060FE60                            	
00000868	.vmp0:sub_404847:loc_404869	add     esi, [ebp+0]            	                                        	
00000868	.vmp0:sub_404847:loc_40486C	mov     al, [esi]               	EAX=00000043                            	
00000868	.vmp0:sub_404847+27     	movzx   eax, al                 	                                        	
00000868	.vmp0:sub_404847+2A     	sub     esi, 0FFFFFFFFh         	ESI=004048B9 CF=1 PF=0 AF=1             	
00000868	.vmp0:sub_404847+2D     	jmp     ds:off_4042C6[eax*4]    	                                        	
00000868	.vmp0:sub_404847:loc_404154	mov     al, [esi]               	EAX=00000008                            	
00000868	.vmp0:sub_404847-6F1    	mov     edx, [ebp+0]            	                                        	
00000868	.vmp0:sub_404847-6EE    	add     ebp, 4                  	EBP=0060FF24 CF=0 PF=1 AF=0             	
00000868	.vmp0:sub_404847-6EB    	mov     [eax+edi], edx          	                                        	
00000868	.vmp0:sub_404847-6E8    	sub     esi, 0FFFFFFFFh         	ESI=004048BA CF=1 PF=0 AF=1             	
00000868	.vmp0:sub_404847-6E5    	jmp     loc_40486C              	                                        	
00000868	.vmp0:sub_404847:loc_40486C	mov     al, [esi]               	EAX=000000DE                            	
00000868	.vmp0:sub_404847+27     	movzx   eax, al                 	                                        	
00000868	.vmp0:sub_404847+2A     	sub     esi, 0FFFFFFFFh         	ESI=004048BB PF=1                       	
00000868	.vmp0:sub_404847+2D     	jmp     ds:off_4042C6[eax*4]    	                                        	
00000868	.vmp0:sub_404847:loc_404139	mov     eax, [esi]              	EAX=8E6282CE                            	
00000868	.vmp0:sub_404847-70C    	add     esi, 4                  	ESI=004048BF CF=0 PF=0 AF=0             	
00000868	.vmp0:sub_404847-709    	sub     ebp, 4                  	EBP=0060FF20                            	
00000868	.vmp0:sub_404847-706    	mov     [ebp+0], eax            	                                        	
00000868	.vmp0:sub_404847-703    	jmp     loc_404795              	                                        	
00000868	.vmp0:sub_404847:loc_404795	lea     eax, [edi+50h]          	EAX=0060FEB0                            	
00000868	.vmp0:sub_404847-AF     	cmp     ebp, eax                	                                        	
00000868	.vmp0:sub_404847-AD     	ja      loc_40486C              	                                        	
00000868	.vmp0:sub_404847:loc_40486C	mov     al, [esi]               	EAX=0060FE93                            	
00000868	.vmp0:sub_404847+27     	movzx   eax, al                 	EAX=00000093                            	
00000868	.vmp0:sub_404847+2A     	sub     esi, 0FFFFFFFFh         	ESI=004048C0 CF=1 PF=1                  	
00000868	.vmp0:sub_404847+2D     	jmp     ds:off_4042C6[eax*4]    	                                        	
00000868	.vmp0:sub_404847:loc_40429D	mov     eax, [ebp+0]            	EAX=8E6282CE                            	
00000868	.vmp0:sub_404847-5A7    	add     [ebp+4], eax            	CF=0 PF=0 SF=1                          	
00000868	.vmp0:sub_404847-5A4    	pushf                           	ESP=0060FE5C                            	
00000868	.vmp0:sub_404847-5A3    	pop     dword ptr [ebp+0]       	ESP=0060FE60                            	
00000868	.vmp0:sub_404847-5A0    	jmp     loc_40486C              	                                        	
00000868	.vmp0:sub_404847:loc_40486C	mov     al, [esi]               	EAX=8E628210                            	
00000868	.vmp0:sub_404847+27     	movzx   eax, al                 	EAX=00000010                            	
00000868	.vmp0:sub_404847+2A     	sub     esi, 0FFFFFFFFh         	ESI=004048C1 CF=1 AF=1 SF=0             	
00000868	.vmp0:sub_404847+2D     	jmp     ds:off_4042C6[eax*4]    	                                        	
00000868	.vmp0:sub_404847:loc_404154	mov     al, [esi]               	EAX=00000024                            	
00000868	.vmp0:sub_404847-6F1    	mov     edx, [ebp+0]            	EDX=00000282                            	
00000868	.vmp0:sub_404847-6EE    	add     ebp, 4                  	EBP=0060FF24 CF=0 PF=1 AF=0             	
00000868	.vmp0:sub_404847-6EB    	mov     [eax+edi], edx          	                                        	
00000868	.vmp0:sub_404847-6E8    	sub     esi, 0FFFFFFFFh         	ESI=004048C2 CF=1 PF=0 AF=1             	
00000868	.vmp0:sub_404847-6E5    	jmp     loc_40486C              	                                        	
00000868	.vmp0:sub_404847:loc_40486C	mov     al, [esi]               	EAX=00000000                            	
00000868	.vmp0:sub_404847+27     	movzx   eax, al                 	                                        	
00000868	.vmp0:sub_404847+2A     	sub     esi, 0FFFFFFFFh         	ESI=004048C3 PF=1                       	
00000868	.vmp0:sub_404847+2D     	jmp     ds:off_4042C6[eax*4]    	                                        	
00000868	.vmp0:sub_404847:loc_404154	mov     al, [esi]               	EAX=0000002C                            	
00000868	.vmp0:sub_404847-6F1    	mov     edx, [ebp+0]            	EDX=8E6282CE                            	
00000868	.vmp0:sub_404847-6EE    	add     ebp, 4                  	EBP=0060FF28 CF=0 AF=0                  	
00000868	.vmp0:sub_404847-6EB    	mov     [eax+edi], edx          	                                        	
00000868	.vmp0:sub_404847-6E8    	sub     esi, 0FFFFFFFFh         	ESI=004048C4 CF=1 PF=0 AF=1             	
00000868	.vmp0:sub_404847-6E5    	jmp     loc_40486C              	                                        	
00000868	.vmp0:sub_404847:loc_40486C	mov     al, [esi]               	EAX=0000001B                            	
00000868	.vmp0:sub_404847+27     	movzx   eax, al                 	                                        	
00000868	.vmp0:sub_404847+2A     	sub     esi, 0FFFFFFFFh         	ESI=004048C5 PF=1                       	
00000868	.vmp0:sub_404847+2D     	jmp     ds:off_4042C6[eax*4]    	                                        	
