Thread  	Address                 	Instruction                     	Result                                  	
000011A8	.text:start             	Memory layout changed: 67 segments	Memory layout changed: 67 segments      	
000011A8	.text:start             	push    ebp                     	ESP=0060FF80                            	
000011A8	.text:start+1           	mov     ebp, esp                	EBP=0060FF80                            	
000011A8	.text:start+3           	sub     esp, 28h                	ESP=0060FF58 PF=0 AF=1 ZF=0             	
000011A8	.text:start+6           	mov     [esp+28h+Str], offset Str; \"Hello Loop\"	                                        	
000011A8	.text:start+D           	call    puts                    	ESP=0060FF54                            	
000011A8	.text:puts              	jmp     ds:__imp_puts           	EAX=00000000 ECX=75259AFF EDX=00000000 ESP=0060FF58 PF=1 AF=0 ZF=1 	
000011A8	.text:start+12          	mov     [esp+28h+var_24], 0BABE5h	                                        	
000011A8	.text:start+1A          	mov     [esp+28h+Str], 0AFFE1h  	                                        	
000011A8	.text:start+21          	call    sub_401000              	ESP=0060FF54                            	
000011A8	.text:sub_401000        	jmp     loc_40489B              	                                        	
000011A8	.vmp0:loc_40489B        	push    offset loc_4048A5       	ESP=0060FF50                            	
000011A8	.vmp0:004048A0          	call    sub_404133              	ESP=0060FF4C                            	
000011A8	.vmp0:sub_404133        	push    edi                     	ESP=0060FF48                            	
000011A8	.vmp0:sub_404133+1      	push    edx                     	ESP=0060FF44                            	
000011A8	.vmp0:sub_404133+2      	push    eax                     	ESP=0060FF40                            	
000011A8	.vmp0:sub_404133+3      	push    esi                     	ESP=0060FF3C                            	
000011A8	.vmp0:sub_404133+4      	pushf                           	ESP=0060FF38                            	
000011A8	.vmp0:sub_404133+5      	push    ecx                     	ESP=0060FF34                            	
000011A8	.vmp0:sub_404133+6      	push    ebp                     	ESP=0060FF30                            	
000011A8	.vmp0:sub_404133+7      	push    ebx                     	ESP=0060FF2C                            	
000011A8	.vmp0:sub_404133+8      	push    eax                     	ESP=0060FF28                            	
000011A8	.vmp0:sub_404133+9      	push    dword_401005            	ESP=0060FF24                            	
000011A8	.vmp0:sub_404133+F      	push    0                       	ESP=0060FF20                            	
000011A8	.vmp0:sub_404133+14     	mov     esi, [esp+2Ch+arg_0]    	ESI=004048A5                            	
000011A8	.vmp0:sub_404133+18     	mov     ebp, esp                	EBP=0060FF20                            	
000011A8	.vmp0:sub_404133+1A     	sub     esp, 0C0h               	ESP=0060FE60 ZF=0                       	
000011A8	.vmp0:sub_404133+20     	mov     edi, esp                	EDI=0060FE60                            	
000011A8	.vmp0:sub_404133:loc_404155	add     esi, [ebp+0]            	                                        	
000011A8	.vmp0:sub_404133:loc_404158	mov     al, [esi]               	EAX=000000AE                            	
000011A8	.vmp0:sub_404133+27     	sub     esi, 0FFFFFFFFh         	ESI=004048A6 CF=1 AF=1                  	
000011A8	.vmp0:sub_404133+2A     	movzx   eax, al                 	                                        	
000011A8	.vmp0:sub_404133+2D     	jmp     ds:off_4041FC[eax*4]    	                                        	
000011A8	.vmp0:sub_404133:loc_4046F5	mov     al, [esi]               	EAX=00000010                            	
000011A8	.vmp0:sub_404133+5C4    	mov     edx, [ebp+0]            	                                        	
000011A8	.vmp0:sub_404133+5C7    	add     ebp, 4                  	EBP=0060FF24 CF=0 AF=0                  	
000011A8	.vmp0:sub_404133+5CA    	mov     [eax+edi], edx          	                                        	
000011A8	.vmp0:sub_404133+5CD    	add     esi, 1                  	ESI=004048A7 PF=0                       	
000011A8	.vmp0:sub_404133+5D0    	jmp     loc_404158              	                                        	
000011A8	.vmp0:sub_404133:loc_404158	mov     al, [esi]               	EAX=000000E8                            	
000011A8	.vmp0:sub_404133+27     	sub     esi, 0FFFFFFFFh         	ESI=004048A8 CF=1 AF=1                  	
000011A8	.vmp0:sub_404133+2A     	movzx   eax, al                 	                                        	
000011A8	.vmp0:sub_404133+2D     	jmp     ds:off_4041FC[eax*4]    	                                        	
000011A8	.vmp0:sub_404133:loc_404708	mov     eax, [esi]              	EAX=50432B77                            	
000011A8	.vmp0:sub_404133+5D7    	sub     ebp, 4                  	EBP=0060FF20 CF=0 AF=0                  	
000011A8	.vmp0:sub_404133+5DA    	add     esi, 4                  	ESI=004048AC PF=1                       	
000011A8	.vmp0:sub_404133+5DD    	mov     [ebp+0], eax            	                                        	
000011A8	.vmp0:sub_404133+5E0    	jmp     $+5                     	                                        	
000011A8	.vmp0:sub_404133:loc_404718	lea     eax, [edi+50h]          	EAX=0060FEB0                            	
000011A8	.vmp0:sub_404133+5E8    	cmp     ebp, eax                	PF=0                                    	
000011A8	.vmp0:sub_404133+5EA    	ja      loc_404158              	                                        	
000011A8	.vmp0:sub_404133:loc_404158	mov     al, [esi]               	EAX=0060FE00                            	
000011A8	.vmp0:sub_404133+27     	sub     esi, 0FFFFFFFFh         	ESI=004048AD CF=1 AF=1                  	
000011A8	.vmp0:sub_404133+2A     	movzx   eax, al                 	EAX=00000000                            	
000011A8	.vmp0:sub_404133+2D     	jmp     ds:off_4041FC[eax*4]    	                                        	
000011A8	.vmp0:sub_404133:loc_4046E6	mov     eax, [ebp+0]            	EAX=50432B77                            	
000011A8	.vmp0:sub_404133+5B6    	add     [ebp+4], eax            	CF=0 PF=1 AF=0                          	
000011A8	.vmp0:sub_404133+5B9    	pushf                           	ESP=0060FE5C                            	
000011A8	.vmp0:sub_404133+5BA    	pop     dword ptr [ebp+0]       	ESP=0060FE60                            	
000011A8	.vmp0:sub_404133+5BD    	jmp     loc_404158              	                                        	
000011A8	.vmp0:sub_404133:loc_404158	mov     al, [esi]               	EAX=50432B29                            	
000011A8	.vmp0:sub_404133+27     	sub     esi, 0FFFFFFFFh         	ESI=004048AE CF=1 PF=0 AF=1             	
000011A8	.vmp0:sub_404133+2A     	movzx   eax, al                 	EAX=00000029                            	
000011A8	.vmp0:sub_404133+2D     	jmp     ds:off_4041FC[eax*4]    	                                        	
000011A8	.vmp0:sub_404133:loc_4046F5	mov     al, [esi]               	EAX=0000002C                            	
000011A8	.vmp0:sub_404133+5C4    	mov     edx, [ebp+0]            	EDX=00000206                            	
000011A8	.vmp0:sub_404133+5C7    	add     ebp, 4                  	EBP=0060FF24 CF=0 PF=1 AF=0             	
000011A8	.vmp0:sub_404133+5CA    	mov     [eax+edi], edx          	                                        	
000011A8	.vmp0:sub_404133+5CD    	add     esi, 1                  	ESI=004048AF                            	
000011A8	.vmp0:sub_404133+5D0    	jmp     loc_404158              	                                        	
000011A8	.vmp0:sub_404133:loc_404158	mov     al, [esi]               	EAX=000000A9                            	
000011A8	.vmp0:sub_404133+27     	sub     esi, 0FFFFFFFFh         	ESI=004048B0 CF=1 PF=0                  	
000011A8	.vmp0:sub_404133+2A     	movzx   eax, al                 	                                        	
000011A8	.vmp0:sub_404133+2D     	jmp     ds:off_4041FC[eax*4]    	                                        	
000011A8	.vmp0:sub_404133:loc_4046F5	mov     al, [esi]               	EAX=00000008                            	
000011A8	.vmp0:sub_404133+5C4    	mov     edx, [ebp+0]            	EDX=50432B77                            	
000011A8	.vmp0:sub_404133+5C7    	add     ebp, 4                  	EBP=0060FF28 CF=0 PF=1                  	
000011A8	.vmp0:sub_404133+5CA    	mov     [eax+edi], edx          	                                        	
000011A8	.vmp0:sub_404133+5CD    	add     esi, 1                  	ESI=004048B1                            	
000011A8	.vmp0:sub_404133+5D0    	jmp     loc_404158              	                                        	
000011A8	.vmp0:sub_404133:loc_404158	mov     al, [esi]               	EAX=000000A9                            	
000011A8	.vmp0:sub_404133+27     	sub     esi, 0FFFFFFFFh         	ESI=004048B2 CF=1 AF=1                  	
000011A8	.vmp0:sub_404133+2A     	movzx   eax, al                 	                                        	
000011A8	.vmp0:sub_404133+2D     	jmp     ds:off_4041FC[eax*4]    	                                        	
000011A8	.vmp0:sub_404133:loc_4046F5	mov     al, [esi]               	EAX=0000003C                            	
000011A8	.vmp0:sub_404133+5C4    	mov     edx, [ebp+0]            	EDX=00000000                            	
000011A8	.vmp0:sub_404133+5C7    	add     ebp, 4                  	EBP=0060FF2C CF=0 PF=0 AF=0             	
000011A8	.vmp0:sub_404133+5CA    	mov     [eax+edi], edx          	                                        	
000011A8	.vmp0:sub_404133+5CD    	add     esi, 1                  	ESI=004048B3                            	
000011A8	.vmp0:sub_404133+5D0    	jmp     loc_404158              	                                        	
000011A8	.vmp0:sub_404133:loc_404158	mov     al, [esi]               	EAX=000000A9                            	
000011A8	.vmp0:sub_404133+27     	sub     esi, 0FFFFFFFFh         	ESI=004048B4 CF=1 PF=1 AF=1             	
000011A8	.vmp0:sub_404133+2A     	movzx   eax, al                 	                                        	
000011A8	.vmp0:sub_404133+2D     	jmp     ds:off_4041FC[eax*4]    	                                        	
000011A8	.vmp0:sub_404133:loc_4046F5	mov     al, [esi]               	EAX=00000020                            	
000011A8	.vmp0:sub_404133+5C4    	mov     edx, [ebp+0]            	EDX=002D4000                            	
000011A8	.vmp0:sub_404133+5C7    	add     ebp, 4                  	EBP=0060FF30 CF=0                       	
000011A8	.vmp0:sub_404133+5CA    	mov     [eax+edi], edx          	                                        	
000011A8	.vmp0:sub_404133+5CD    	add     esi, 1                  	ESI=004048B5 PF=0 AF=0                  	
000011A8	.vmp0:sub_404133+5D0    	jmp     loc_404158              	                                        	
000011A8	.vmp0:sub_404133:loc_404158	mov     al, [esi]               	EAX=00000067                            	
000011A8	.vmp0:sub_404133+27     	sub     esi, 0FFFFFFFFh         	ESI=004048B6 CF=1 AF=1                  	
000011A8	.vmp0:sub_404133+2A     	movzx   eax, al                 	                                        	
000011A8	.vmp0:sub_404133+2D     	jmp     ds:off_4041FC[eax*4]    	                                        	
000011A8	.vmp0:sub_404133:loc_4046F5	mov     al, [esi]               	EAX=00000038                            	
000011A8	.vmp0:sub_404133+5C4    	mov     edx, [ebp+0]            	EDX=0060FF80                            	
000011A8	.vmp0:sub_404133+5C7    	add     ebp, 4                  	EBP=0060FF34 CF=0 AF=0                  	
000011A8	.vmp0:sub_404133+5CA    	mov     [eax+edi], edx          	                                        	
000011A8	.vmp0:sub_404133+5CD    	add     esi, 1                  	ESI=004048B7 PF=1                       	
000011A8	.vmp0:sub_404133+5D0    	jmp     loc_404158              	                                        	
000011A8	.vmp0:sub_404133:loc_404158	mov     al, [esi]               	EAX=00000029                            	
000011A8	.vmp0:sub_404133+27     	sub     esi, 0FFFFFFFFh         	ESI=004048B8 CF=1 AF=1                  	
000011A8	.vmp0:sub_404133+2A     	movzx   eax, al                 	                                        	
000011A8	.vmp0:sub_404133+2D     	jmp     ds:off_4041FC[eax*4]    	                                        	
000011A8	.vmp0:sub_404133:loc_4046F5	mov     al, [esi]               	EAX=0000002C                            	
000011A8	.vmp0:sub_404133+5C4    	mov     edx, [ebp+0]            	EDX=75259AFF                            	
000011A8	.vmp0:sub_404133+5C7    	add     ebp, 4                  	EBP=0060FF38 CF=0 PF=0 AF=0             	
000011A8	.vmp0:sub_404133+5CA    	mov     [eax+edi], edx          	                                        	
000011A8	.vmp0:sub_404133+5CD    	add     esi, 1                  	ESI=004048B9                            	
000011A8	.vmp0:sub_404133+5D0    	jmp     loc_404158              	                                        	
000011A8	.vmp0:sub_404133:loc_404158	mov     al, [esi]               	EAX=00000029                            	
000011A8	.vmp0:sub_404133+27     	sub     esi, 0FFFFFFFFh         	ESI=004048BA CF=1 AF=1                  	
000011A8	.vmp0:sub_404133+2A     	movzx   eax, al                 	                                        	
000011A8	.vmp0:sub_404133+2D     	jmp     ds:off_4041FC[eax*4]    	                                        	
000011A8	.vmp0:sub_404133:loc_4046F5	mov     al, [esi]               	EAX=00000004                            	
000011A8	.vmp0:sub_404133+5C4    	mov     edx, [ebp+0]            	EDX=00000246                            	
000011A8	.vmp0:sub_404133+5C7    	add     ebp, 4                  	EBP=0060FF3C CF=0 PF=1 AF=0             	
000011A8	.vmp0:sub_404133+5CA    	mov     [eax+edi], edx          	                                        	
000011A8	.vmp0:sub_404133+5CD    	add     esi, 1                  	ESI=004048BB                            	
000011A8	.vmp0:sub_404133+5D0    	jmp     loc_404158              	                                        	
000011A8	.vmp0:sub_404133:loc_404158	mov     al, [esi]               	EAX=00000067                            	
